"NUM_MUN_SGAB";"NOM_MUN_SGAB";"QL_CRITERI_FACT";"ID_MUN_CP_UNIC";"CP_PROVINCIA";"UNITAT_REPARTIMENT";"NUM_DTE_POST";"NUM_DEL_SGAB";"NUM_AGENCIA_SGAB";"ID_AREA_LECT";"ID_EMPRESA";"DELEGA_CO";"QL_GEST_DTE";"ID_MUNI_ENT_MET";"NOMB_DIES_ANS";"MUNI_GENERALITAT";"CODI_PROV";"CODI_MUNI";"QL_TIPUS_VENDA";"CODI_MUNICIPI"
"66";"S.FOST CAMPSENTELLES";"Q";"S";"08";"1";"05";"02";"20";"2";"AB";"3";" ";"N";"3";"     ";"08";"2093";"A";"209"
"67";"BEGUES              ";"Q";"S";"08";"8";"59";"03";"30";"1";"AB";"5";" ";"S";"3";"     ";"08";"0207";"D";"020"
"68";"EL PRAT LLOBREGAT   ";"Q";"S";"08";"8";"20";"03";"30";"0";"AB";"1";" ";"S";"3";"     ";"08";"1691";"A";"169"
"69";"BADIA               ";"Q";"S";"08";"2";"14";"02";"20";"0";"AB";"3";" ";"N";"3";"     ";"08";"9045";"A";"904"
"72";"EL PAPIOL           ";"Q";"S";"08";"7";"54";"03";"30";"1";"AB";"5";" ";"S";"3";"     ";"08";"1580";"D";"158"
"73";"PALLEJA             ";"Q";"S";"08";"7";"80";"03";"30";"1";"AB";"5";" ";"S";"3";"     ";"08";"1574";"D";"157"
"75";"SANT CLIMENT LLOB.  ";"Q";"S";"08";"8";"49";"03";"30";"1";"AB";"5";" ";"S";"3";"     ";"08";"2042";"D";"204"
"77";"MOLINS DE REI       ";"Q";"S";"08";"7";"50";"03";"30";"1";"AB";"4";" ";"N";"3";"     ";"08";"1234";"A";"123"
"78";"ST.VICENÇ DELS HORTS";"Q";"S";"08";"6";"20";"03";"30";"1";"AB";"5";" ";"N";"3";"     ";"08";"2634";"A";"263"
"79";"CERVELLO            ";"Q";"S";"08";"7";"58";"03";"30";"1";"AB";"5";" ";"N";"3";"     ";"08";"0689";"A";"068"
"80";"EL MASNOU           ";"Q";"S";"08";"3";"20";"02";"20";"2";"AB";"3";" ";"N";"3";"     ";"08";"1189";"A";"118"
