NUM_PARTICIO;ID_EMPRESA;ANY_FACTURA;NUM_FACTURA;IMP_QTA_SERV_RC;M3_BLOC1_RC;PREU_M3_BLOC1_RC;IMP_BLOC1_RC;M3_BLOC2_RC;PREU_M3_BLOC2_RC;IMP_BLOC2_RC;M3_BLOC3_RC;PREU_M3_BLOC3_RC;IMP_BLOC3_RC;BASE_CT_XBASICA_RC;PREU_CT_XBASICA_RC;IMP_CT_XBASICA_RC;BASE_TCG_SUBM_RC;PREU_TCG_SUBM_RC;IMP_TCG_SUBM_RC;BASE_CLAVAG_RC;PREU_CLAVAG_RC;IMP_CLAVAG_RC;BASE_SANEJA_RC;PREU_SANEJA_RC;IMP_SANEJA_RC;BASE_ERSU_RC;PREU_ERSU_RC;IMP_ERSU_RC;BASE_CIH_BLOC1_RC;PREU_CIH_BLOC1_RC;IMP_CIH_BLOC1_RC;BASE_CIH_BLOC2_RC;PREU_CIH_BLOC2_RC;IMP_CIH_BLOC2_RC;BASE_CIH_BLOC3_RC;PREU_CIH_BLOC3_RC;IMP_CIH_BLOC3_RC;IMP_BONIF_QTA_RC;BASE_CAI_T1_RC;PREU_CAI_T1_RC;IMP_CAI_T1_RC;BASE_CAI_T2_RC;PREU_CAI_T2_RC;IMP_CAI_T2_RC;BASE_CLA_T2_RC;PREU_CLA_T2_RC;IMP_CLA_T2_RC;BASE_CAI_T3_RC;PREU_CAI_T3_RC;IMP_CAI_T3_RC
1;AC;2026;658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.50;0;0;0;0;0;0;0;0;0;0;0;0
1;AC;2026;659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.18;0;0;0;0;0;0;0;0;0;0;0;0
